gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
4439237422		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:652:IN																PRESENT																			2003-06-01T00:00:00				2003	6				hri;ard						1000014841			ASIA				IN				Amta									22.584	88.016																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.956Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.956Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.36_1	West Bengal	IND.36.7_1	Haora	IND.36.7.2_1	Uluberiya	NE	
4439237421		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:814:PK																PRESENT																												hri						2146280700			ASIA				PK				Gadap									25.1133	67.2605																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	PAK	Pakistan	PAK.8_1	Sindh	PAK.8.2_1	Karachi	PAK.8.2.5_1	Malir	NE	
4439237420		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:394:IN																PRESENT																			1991-04-01T00:00:00				1991	4				l						1000005881			ASIA				IN				Panaji									15.493	73.817																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.10_1	Goa	IND.10.1_1	North Goa	IND.10.1.4_1	Panaji	NE	
4439237419		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:966:IN																PRESENT																												l						2146281245			ASIA				IN				National Institute for Communicable Disease									11.2962	76.9414																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.956Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.956Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.31_1	Tamil Nadu	IND.31.3_1	Coimbatore	IND.31.3.2_1	Mettuppalaiyam	NE	
4439237418		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:1034:IN																PRESENT																			2012-01-01T00:00:00				2012					hri;ard						2146281539			ASIA				IN				Umren									27.5	76.5678																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.29_1	Rajasthan	IND.29.2_1	Alwar	IND.29.2.1_1	Alwar	NE	
4439237417		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:723:IN																PRESENT																			1985-10-01T00:00:00				1985	10				ard;hri						1000009960			ASIA				IN				Nadiad Taluka									22.69	72.856																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.957Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.957Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.11_1	Gujarat	IND.11.17_1	Kheda	IND.11.17.4_1	Nadiad	NE	
4439237416		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:278:IN																PRESENT				Kar, I., Eapen, A. and Ravindran, K.J. Domestic breeding sources and their contribution in Anopheles stephensi breeding in Dindigul, Tamil Nadu. Indian J Malariol, 33(4), 191-9 ((1996).															1994-08-01T00:00:00				1994	8				l						1000003585			ASIA				IN				Dindigul town									10.356	77.975																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.956Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.956Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.31_1	Tamil Nadu	IND.31.6_1	Dindigul	IND.31.6.1_1	Dindigul	NE	
4439237415		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:349:IN																PRESENT																			1985-11-01T00:00:00				1985	11				hri;ard						1000005734			ASIA				IN				Delhi (South area: Kalkaji, Humayunpur, Sarojini Nagar)									28.5615	77.1935																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.956Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.956Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	IND	India	IND.25_1	NCT of Delhi	IND.25.1_1	West	IND.25.1.1_1	Delhi	NE	
4439237414		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:475:MM																PRESENT																			1998-10-01T00:00:00				1998	10				mbi;mbo;abn;hri						1000014659			ASIA				MM				Hinthada Town									17.644	95.472																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.956Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.956Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	MMR	Myanmar	MMR.1_1	Ayeyarwady	MMR.1.2_1	Hinthada	MMR.1.2.1_1	Danubyu	NE	
4439237413		https://doi.org/10.1073/pnas.2003976117		CC_BY_NC_4_0											Anopheles stephensi occurrence data 1985 - 2019		HUMAN_OBSERVATION				An_stephensi:30:MM																PRESENT				Ool, T.T., Storch, V., Becker, N. Review of the anopheline mosquitoes of Myanmar. J Vector Ecol. 29(1), 21-40 (2004) PMID: 15266738.															1998-05-01T00:00:00				1998	5				mbi;mbo;abn;hri						1000000124			ASIA				MM				Monywa Town									22.109	95.138																																																		Anopheles stephensi Liston, 1901								Animalia	Arthropoda	Insecta	Diptera	Culicidae		Anopheles	Anopheles			stephensi			SPECIES				ACCEPTED			0f0df35b-e431-4709-8b7a-9496fff9f253	GB	2023-12-11T12:39:53.955Z						GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES		true	false	1650441	1650441	1	54	216	811	3346	1650098		1650441	Anopheles stephensi	Anopheles stephensi Liston, 1901	Anopheles stephensi		DWC_ARCHIVE	2023-12-11T12:39:53.955Z	2023-12-11T12:39:45.367Z	true		https://doi.org/10.1073/pnas.200397611	MMR	Myanmar	MMR.12_1	Sagaing	MMR.12.5_1	Monywa	MMR.12.5.5_1	Monywa	NE	
